garden,continent,lineid,population,latitude,longitude,experimental.block,dbolt,dfl,rdiam,rlvs,height,branches,fruit,totfruit,survrepro
SC,NA,NA-105,NYEF,40.90666667,-73.14944444,2,78,82,10.3,34,56,98,2329,2329,1
ONT,NA,NA-105,NYEF,40.90666667,-73.14944444,2,196,206,2.7,32,31.9,11,248,248,1
ONT,NA,NA-105,NYEF,40.90666667,-73.14944444,3,198,207,5.2,32,30.5,26,585,585,1
SC,NA,NA-105,NYEF,40.90666667,-73.14944444,3,80,86,10.6,47,40.6,67,1533,1533,1
ONT,NA,NA-105,NYEF,40.90666667,-73.14944444,4,196,207,2.5,32,30.1,7,162,162,1
SC,NA,NA-105,NYEF,40.90666667,-73.14944444,4,80,87,13,39,51.6,83,2191,2191,1
SC,NA,NA-105,NYEF,40.90666667,-73.14944444,5,79,86,7.4,31,49.1,23,516,516,1
ONT,NA,NA-105,NYEF,40.90666667,-73.14944444,5,199,208,4,43,30.2,36,545,545,1
ONT,NA,NA-106,NYEF,40.90666667,-73.14944444,1,,,,,,,,0,0
SC,NA,NA-106,NYEF,40.90666667,-73.14944444,1,,,,,,,,0,0
SC,NA,NA-106,NYEF,40.90666667,-73.14944444,2,,,,,,,,0,0
ONT,NA,NA-106,NYEF,40.90666667,-73.14944444,2,,,,,,,,0,0
ONT,NA,NA-106,NYEF,40.90666667,-73.14944444,3,196,207,3,25,31.3,24,475,475,1
SC,NA,NA-106,NYEF,40.90666667,-73.14944444,3,,,,,,,,0,0
ONT,NA,NA-106,NYEF,40.90666667,-73.14944444,4,206,213,1.2,16,14.6,3,22,22,1
SC,NA,NA-106,NYEF,40.90666667,-73.14944444,4,,,,,,,,0,0
ONT,NA,NA-106,NYEF,40.90666667,-73.14944444,5,198,207,2.4,29,27.9,7,141,141,1
SC,NA,NA-106,NYEF,40.90666667,-73.14944444,5,,,,,,,,0,0
SC,NA,NA-107,NYSET,40.935,-73.11416667,1,78,84,7.6,43,47.5,42,690,690,1
ONT,NA,NA-107,NYSET,40.935,-73.11416667,1,198,208,4.4,42,32,97,1691,1691,1
ONT,NA,NA-107,NYSET,40.935,-73.11416667,2,202,209,2.4,27,18.9,24,452,452,1
SC,NA,NA-107,NYSET,40.935,-73.11416667,2,75,80,7.3,32,48.2,21,444,444,1
ONT,NA,NA-107,NYSET,40.935,-73.11416667,3,202,213,4,26,34,41,748,748,1
SC,NA,NA-107,NYSET,40.935,-73.11416667,3,79,86,7.1,24,42.9,44,773,773,1
ONT,NA,NA-107,NYSET,40.935,-73.11416667,4,196,207,3.7,34,33.3,12,305,305,1
SC,NA,NA-107,NYSET,40.935,-73.11416667,4,84,88,14.2,33,44.5,150,3327,3327,1
SC,NA,NA-107,NYSET,40.935,-73.11416667,5,79,86,9.2,36,49.4,24,579,579,1
ONT,NA,NA-107,NYSET,40.935,-73.11416667,5,198,207,4.1,33,29.3,36,554,554,1
ONT,NA,NA-109,NYWP,40.90777778,-73.20888889,1,,,,,,,,0,0
SC,NA,NA-109,NYWP,40.90777778,-73.20888889,1,77,83,11.2,50,46.1,105,2368,2368,1
ONT,NA,NA-109,NYWP,40.90777778,-73.20888889,2,200,208,3.6,27,32.3,20,415,415,1
SC,NA,NA-109,NYWP,40.90777778,-73.20888889,2,77,82,12.4,61,46.3,43,1244,1244,1
SC,NA,NA-109,NYWP,40.90777778,-73.20888889,3,79,86,9.2,42,38.3,33,343,343,1
ONT,NA,NA-109,NYWP,40.90777778,-73.20888889,3,198,209,3.4,30,30.5,30,621,621,1
SC,NA,NA-109,NYWP,40.90777778,-73.20888889,4,78,85,7.4,37,37.5,18,410,410,1
ONT,NA,NA-109,NYWP,40.90777778,-73.20888889,4,196,206,3.1,26,31,10,282,282,1
ONT,NA,NA-109,NYWP,40.90777778,-73.20888889,5,196,207,2.6,31,30.1,7,180,180,1
SC,NA,NA-109,NYWP,40.90777778,-73.20888889,5,,,,,,,,0,0
SC,NA,NA-111,MD,39.03,-76.8,1,79,83,9.1,37,41.8,43,266,266,1
ONT,NA,NA-111,MD,39.03,-76.8,1,,,,,,,,0,0
SC,NA,NA-111,MD,39.03,-76.8,2,88,92,4.5,35,33.2,13,109,109,1
ONT,NA,NA-111,MD,39.03,-76.8,2,,,,,,,,0,0
ONT,NA,NA-111,MD,39.03,-76.8,3,202,213,5.1,43,31.5,41,888,888,1
SC,NA,NA-111,MD,39.03,-76.8,3,82,88,16.4,62,46.3,146,1122,1122,1
ONT,NA,NA-111,MD,39.03,-76.8,4,,,,,,,,0,0
SC,NA,NA-111,MD,39.03,-76.8,4,84,88,8.3,45,43.4,22,339,339,1
ONT,NA,NA-111,MD,39.03,-76.8,5,198,207,3.1,45,37.6,7,197,197,1
SC,NA,NA-111,MD,39.03,-76.8,5,86,91,7.6,49,50.4,17,202,202,1
ONT,NA,NA-113,MD,39.03,-76.8,1,203,213,3,22,36.1,42,708,708,1
SC,NA,NA-113,MD,39.03,-76.8,1,82,86,7.7,49,42.7,28,243,243,1
SC,NA,NA-113,MD,39.03,-76.8,2,86,92,7.5,53,45.5,23,229,229,1
ONT,NA,NA-113,MD,39.03,-76.8,2,200,209,3.4,35,33.4,9,233,233,1
ONT,NA,NA-113,MD,39.03,-76.8,3,,,,,,,,0,0
SC,NA,NA-113,MD,39.03,-76.8,3,93,99,6.7,42,37.4,14,37,37,1
SC,NA,NA-113,MD,39.03,-76.8,4,86,90,10.1,42,47.6,66,548,548,1
ONT,NA,NA-113,MD,39.03,-76.8,4,198,207,3.9,31,25.2,11,283,283,1
ONT,NA,NA-113,MD,39.03,-76.8,5,198,207,3.2,34,32,5,128,128,1
SC,NA,NA-113,MD,39.03,-76.8,5,87,90,7.9,52,41.9,25,209,209,1
ONT,NA,NA-114,MD,39.03,-76.8,1,,,,,,,,0,0
SC,NA,NA-114,MD,39.03,-76.8,1,,,,,,,,0,0
ONT,NA,NA-114,MD,39.03,-76.8,2,202,209,3.6,33,32.8,12,298,298,1
SC,NA,NA-114,MD,39.03,-76.8,2,88,92,6.4,41,32.9,37,1265,1265,1
SC,NA,NA-114,MD,39.03,-76.8,3,81,87,13.3,69,50.4,107,494,494,1
ONT,NA,NA-114,MD,39.03,-76.8,3,203,213,2.3,19,26.7,7,97,97,1
SC,NA,NA-114,MD,39.03,-76.8,4,88,93,5.9,34,35.1,8,142,142,1
ONT,NA,NA-114,MD,39.03,-76.8,4,198,207,3.1,42,36.1,23,375,375,1
ONT,NA,NA-114,MD,39.03,-76.8,5,201,207,1.9,28,27.9,4,83,83,1
SC,NA,NA-114,MD,39.03,-76.8,5,88,92,8.8,50,47.6,34,309,309,1
SC,NA,NA-116,MD,39.03,-76.8,1,80,86,8,39,51,71,792,792,1
ONT,NA,NA-116,MD,39.03,-76.8,1,,,,,,,,0,0
ONT,NA,NA-116,MD,39.03,-76.8,2,200,208,4,44,39.5,17,425,425,1
SC,NA,NA-116,MD,39.03,-76.8,2,92,102,9.4,53,,,,0,1
SC,NA,NA-116,MD,39.03,-76.8,3,92,99,3.6,32,13.3,6,7,7,1
ONT,NA,NA-116,MD,39.03,-76.8,3,,,,,,,,0,0
ONT,NA,NA-116,MD,39.03,-76.8,4,202,207,3.5,39,33.1,7,204,204,1
SC,NA,NA-116,MD,39.03,-76.8,4,88,92,13,36,49.9,86,966,966,1
ONT,NA,NA-116,MD,39.03,-76.8,5,198,207,3.7,35,35.2,9,221,221,1
SC,NA,NA-116,MD,39.03,-76.8,5,87,91,7.1,50,43.1,19,211,211,1
SC,NA,NA-117,GAO,33.86748333,-83.55061667,1,77,80,2.9,28,21.6,4,93,93,1
ONT,NA,NA-117,GAO,33.86748333,-83.55061667,1,,,,,,,,0,0
SC,NA,NA-117,GAO,33.86748333,-83.55061667,2,78,82,3,21,21.5,7,116,116,1
ONT,NA,NA-117,GAO,33.86748333,-83.55061667,2,195,206,1.2,20,21.2,36,440,440,1
ONT,NA,NA-117,GAO,33.86748333,-83.55061667,3,,,,,,,,0,0
SC,NA,NA-117,GAO,33.86748333,-83.55061667,3,80,84,5.4,37,29.5,9,522,522,1
SC,NA,NA-117,GAO,33.86748333,-83.55061667,4,86,92,4.9,20,22.5,11,305,305,1
ONT,NA,NA-117,GAO,33.86748333,-83.55061667,4,194,206,1.4,21,15.8,7,79,79,1
SC,NA,NA-117,GAO,33.86748333,-83.55061667,5,79,84,5.1,37,24.5,19,265,265,1
ONT,NA,NA-117,GAO,33.86748333,-83.55061667,5,198,207,1.8,18,14,4,44,44,1
SC,NA,NA-118,GAO,33.86748333,-83.55061667,1,,,,,,,,0,0
ONT,NA,NA-118,GAO,33.86748333,-83.55061667,1,198,207,2.6,26,28.1,16,252,252,1
SC,NA,NA-118,GAO,33.86748333,-83.55061667,2,71,74,7.4,26,42.2,30,750,750,1
ONT,NA,NA-118,GAO,33.86748333,-83.55061667,2,,,,,,,,0,0
ONT,NA,NA-118,GAO,33.86748333,-83.55061667,3,202,214,2.2,24,19.1,8,122,122,1
SC,NA,NA-118,GAO,33.86748333,-83.55061667,3,73,77,6,27,33.2,10,381,381,1
SC,NA,NA-118,GAO,33.86748333,-83.55061667,4,75,79,6.6,30,32.4,9,413,413,1
ONT,NA,NA-118,GAO,33.86748333,-83.55061667,4,192,206,2.4,15,26.5,7,163,163,1
SC,NA,NA-118,GAO,33.86748333,-83.55061667,5,,,,,,,,0,0
ONT,NA,NA-118,GAO,33.86748333,-83.55061667,5,202,209,1.3,14,15.4,5,49,49,1
ONT,NA,NA-119,GAO,33.86748333,-83.55061667,1,,,,,,,,0,0
SC,NA,NA-119,GAO,33.86748333,-83.55061667,1,,,,,,,,0,0
SC,NA,NA-119,GAO,33.86748333,-83.55061667,2,80,84,5.2,,28.8,10,251,251,1
ONT,NA,NA-119,GAO,33.86748333,-83.55061667,2,,,,,,,,0,0
SC,NA,NA-119,GAO,33.86748333,-83.55061667,3,,,,,,,,0,0
ONT,NA,NA-119,GAO,33.86748333,-83.55061667,3,196,207,2,24,23.6,56,772,772,1
ONT,NA,NA-119,GAO,33.86748333,-83.55061667,4,198,207,3,33,22.4,15,225,225,1
SC,NA,NA-119,GAO,33.86748333,-83.55061667,4,78,86,8.3,28,36.8,35,844,844,1
ONT,NA,NA-119,GAO,33.86748333,-83.55061667,5,193,206,2,30,21.5,12,228,228,1
SC,NA,NA-119,GAO,33.86748333,-83.55061667,5,79,85,7.7,37,28.1,26,667,667,1
ONT,NA,NA-12,Pna,42.11553056,-86.45748889,1,,,,,,,,0,0
SC,NA,NA-12,Pna,42.10338056,-86.45748889,1,78,82,8.4,51,31,64,983,983,1
SC,NA,NA-12,Pna,42.10338056,-86.45748889,2,80,86,10.9,11,43.8,105,2648,2648,1
ONT,NA,NA-12,Pna,42.11553056,-86.45748889,2,,,,,,,,0,0
ONT,NA,NA-12,Pna,42.11553056,-86.45748889,3,,,,,,,,0,0
SC,NA,NA-12,Pna,42.10338056,-86.45748889,3,82,89,10.4,40,36.9,186,1937,1937,1
ONT,NA,NA-12,Pna,42.11553056,-86.45748889,4,194,206,2.7,38,38.6,10,235,235,1
SC,NA,NA-12,Pna,42.10338056,-86.45748889,4,101,,0.6,11,5.1,0,3,3,1
SC,NA,NA-12,Pna,42.10338056,-86.45748889,5,88,92,4.5,40,18.7,22,273,273,1
ONT,NA,NA-12,Pna,42.11553056,-86.45748889,5,,,,,,,,0,0
ONT,NA,NA-121,GAO,33.86748333,-83.55061667,1,,,,,,,,0,0
SC,NA,NA-121,GAO,33.86748333,-83.55061667,1,69,72,3.9,19,32.1,18,336,336,1
SC,NA,NA-121,GAO,33.86748333,-83.55061667,2,,,,,,,,0,0
ONT,NA,NA-121,GAO,33.86748333,-83.55061667,2,,,,,,,,0,0
ONT,NA,NA-121,GAO,33.86748333,-83.55061667,3,,,,,,,,0,0
SC,NA,NA-121,GAO,33.86748333,-83.55061667,3,69,71,7.5,27,40.6,16,276,276,1
ONT,NA,NA-121,GAO,33.86748333,-83.55061667,4,194,206,2,19,23.2,9,177,177,1
SC,NA,NA-121,GAO,33.86748333,-83.55061667,4,90,94,7,38,32.6,10,251,251,1
ONT,NA,NA-121,GAO,33.86748333,-83.55061667,5,,,,,,,,0,0
SC,NA,NA-121,GAO,33.86748333,-83.55061667,5,75,77,6.6,21,35.2,9,402,402,1
SC,NA,NA-122,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
ONT,NA,NA-122,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-122,SCR,33.51666667,-80.41666667,2,78,84,5.7,27,36,11,348,348,1
ONT,NA,NA-122,SCR,33.51666667,-80.41666667,2,196,206,1.2,20,18.7,6,79,79,1
SC,NA,NA-122,SCR,33.51666667,-80.41666667,3,79,85,4.4,24,34.8,14,472,472,1
ONT,NA,NA-122,SCR,33.51666667,-80.41666667,3,194,206,2.5,31,28.5,37,576,576,1
