garden,continent,lineid,population,latitude,longitude,experimental.block,dbolt,dfl,rdiam,rlvs,height,branches,fruit,totfruit,survrepro
ONT,NA,NA-135,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-135,SCR,33.51666667,-80.41666667,1,70,73,9.6,35,48.3,55,975,975,1
ONT,NA,NA-135,SCR,33.51666667,-80.41666667,2,193,206,3.2,35,33.2,28,511,511,1
SC,NA,NA-135,SCR,33.51666667,-80.41666667,2,71,73,7.1,33,45.8,23,599,599,1
ONT,NA,NA-135,SCR,33.51666667,-80.41666667,3,196,207,2.5,19,24,4,120,120,1
SC,NA,NA-135,SCR,33.51666667,-80.41666667,3,72,77,9.7,31,45.8,36,684,684,1
ONT,NA,NA-135,SCR,33.51666667,-80.41666667,4,184,203,5,25,36.7,27,619,619,1
SC,NA,NA-135,SCR,33.51666667,-80.41666667,4,74,79,6.8,38,46.1,20,414,414,1
SC,NA,NA-135,SCR,33.51666667,-80.41666667,5,76,81,7.2,29,47.1,35,772,772,1
ONT,NA,NA-135,SCR,33.51666667,-80.41666667,5,187,203,3.4,28,29.1,37,651,651,1
ONT,NA,NA-136,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-136,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-136,SCR,33.51666667,-80.41666667,2,67,72,7.6,32,42,130,2443,2443,1
ONT,NA,NA-136,SCR,33.51666667,-80.41666667,2,,,,,,,,0,0
ONT,NA,NA-136,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
SC,NA,NA-136,SCR,33.51666667,-80.41666667,3,71,77,5.3,21,37,17,138,138,1
ONT,NA,NA-136,SCR,33.51666667,-80.41666667,4,182,196,3.9,19,31.6,129,1717,1717,1
SC,NA,NA-136,SCR,33.51666667,-80.41666667,4,,,,,,,,0,0
SC,NA,NA-136,SCR,33.51666667,-80.41666667,5,73,77,8.7,32,37.5,127,1989,1989,1
ONT,NA,NA-136,SCR,33.51666667,-80.41666667,5,193,198,2.6,19,24.8,10,181,181,1
SC,NA,NA-138,SCE,33.38333333,-80.3,1,73,80,4.9,40,37.3,15,710,710,1
ONT,NA,NA-138,SCE,33.38333333,-80.3,1,196,213,3.4,39,28.4,86,908,908,1
ONT,NA,NA-138,SCE,33.38333333,-80.3,2,196,206,2.8,44,26.9,10,190,190,1
SC,NA,NA-138,SCE,33.38333333,-80.3,2,76,80,7.8,46,45.2,31,975,975,1
SC,NA,NA-138,SCE,33.38333333,-80.3,3,73,80,9.9,42,40.3,36,903,903,1
ONT,NA,NA-138,SCE,33.38333333,-80.3,3,198,208,3.8,35,33.8,77,1130,1130,1
ONT,NA,NA-138,SCE,33.38333333,-80.3,4,192,206,2.3,18,30.6,10,237,237,1
SC,NA,NA-138,SCE,33.38333333,-80.3,4,76,80,8.6,36,45.6,19,487,487,1
SC,NA,NA-138,SCE,33.38333333,-80.3,5,76,81,7.6,39,38.3,44,704,704,1
ONT,NA,NA-138,SCE,33.38333333,-80.3,5,,,,,,,,0,0
ONT,NA,NA-139,SCE,33.38333333,-80.3,1,,,,,,,,0,0
SC,NA,NA-139,SCE,33.38333333,-80.3,1,87,91,3.8,29,27.6,6,100,100,1
ONT,NA,NA-139,SCE,33.38333333,-80.3,2,,,,,,,,0,0
SC,NA,NA-139,SCE,33.38333333,-80.3,2,82,88,6.4,38,39,14,505,505,1
ONT,NA,NA-139,SCE,33.38333333,-80.3,3,200,213,3.6,30,31.7,47,897,897,1
SC,NA,NA-139,SCE,33.38333333,-80.3,3,85,89,7.2,32,36.7,57,903,903,1
SC,NA,NA-139,SCE,33.38333333,-80.3,4,79,86,9.6,27,39.3,12,504,504,1
ONT,NA,NA-139,SCE,33.38333333,-80.3,4,,,,,,,,0,0
ONT,NA,NA-139,SCE,33.38333333,-80.3,5,,,,,,,,0,0
SC,NA,NA-139,SCE,33.38333333,-80.3,5,85,88,7.4,38,31,8,396,396,1
ONT,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,1,206,215,2,18,22.7,48,524,524,1
SC,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,1,75,80,9.1,67,36.3,12,443,443,1
SC,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,2,79,86,6.3,32,44.3,39,638,638,1
ONT,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,2,,,,,,,,0,0
SC,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,3,81,89,12.5,47,44.2,115,1467,1467,1
ONT,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,3,198,208,5.2,41,33.6,56,1097,1097,1
SC,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,4,85,90,12.1,44,49.4,93,1123,1123,1
ONT,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,4,196,207,2.1,32,28.4,8,172,172,1
SC,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,5,84,90,7.8,45,38,33,451,451,1
ONT,NA,NA-14,HarvardSquare,42.36683056,-71.10598889,5,196,206,3.1,33,32.3,28,599,599,1
ONT,NA,NA-140,SCE,33.38333333,-80.3,1,,,,,,,,0,0
SC,NA,NA-140,SCE,33.38333333,-80.3,1,71,76,8.1,49,50.8,33,842,842,1
SC,NA,NA-140,SCE,33.38333333,-80.3,2,72,77,7.4,29,44.6,31,742,742,1
ONT,NA,NA-140,SCE,33.38333333,-80.3,2,188,201,3.2,44,23.3,19,370,370,1
ONT,NA,NA-140,SCE,33.38333333,-80.3,3,,,,,,,,0,0
SC,NA,NA-140,SCE,33.38333333,-80.3,3,75,80,5.3,33,36.3,17,316,316,1
SC,NA,NA-140,SCE,33.38333333,-80.3,4,76,90,6.3,38,32.2,17,484,484,1
ONT,NA,NA-140,SCE,33.38333333,-80.3,4,193,206,3.1,31,31.6,21,489,489,1
ONT,NA,NA-140,SCE,33.38333333,-80.3,5,196,206,2.1,30,23.9,11,135,135,1
SC,NA,NA-140,SCE,33.38333333,-80.3,5,76,81,3.5,24,34.6,12,279,279,1
ONT,NA,NA-141,SCE,33.38333333,-80.3,1,196,207,2.6,23,26.3,17,334,334,1
SC,NA,NA-141,SCE,33.38333333,-80.3,1,,,,,,,,0,0
ONT,NA,NA-141,SCE,33.38333333,-80.3,2,,,,,,,,0,0
SC,NA,NA-141,SCE,33.38333333,-80.3,2,,,,,,,,0,0
ONT,NA,NA-141,SCE,33.38333333,-80.3,3,196,206,2.1,19,21.7,15,273,273,1
SC,NA,NA-141,SCE,33.38333333,-80.3,3,,,,,,,,0,0
ONT,NA,NA-141,SCE,33.38333333,-80.3,4,193,202,2.9,26,26.6,22,470,470,1
SC,NA,NA-141,SCE,33.38333333,-80.3,4,,,,,,,,0,0
SC,NA,NA-141,SCE,33.38333333,-80.3,5,,,,,,,,0,0
ONT,NA,NA-141,SCE,33.38333333,-80.3,5,196,206,2.2,20,19.1,9,146,146,1
SC,NA,NA-142,SCE,33.38333333,-80.3,1,70,77,3.8,22,23.8,8,151,151,1
ONT,NA,NA-142,SCE,33.38333333,-80.3,1,196,206,2,28,25.3,22,385,385,1
SC,NA,NA-142,SCE,33.38333333,-80.3,2,69,72,6.3,17,29.5,20,315,315,1
ONT,NA,NA-142,SCE,33.38333333,-80.3,2,,,,,,,,0,0
SC,NA,NA-142,SCE,33.38333333,-80.3,3,69,71,6.3,23,32.4,22,359,359,1
ONT,NA,NA-142,SCE,33.38333333,-80.3,3,196,207,3.2,28,28.5,42,652,652,1
SC,NA,NA-142,SCE,33.38333333,-80.3,4,71,77,6.8,28,39.1,41,1088,1088,1
ONT,NA,NA-142,SCE,33.38333333,-80.3,4,196,206,2.1,28,21.5,6,110,110,1
SC,NA,NA-142,SCE,33.38333333,-80.3,5,72,79,5.8,22,33.3,11,262,262,1
ONT,NA,NA-142,SCE,33.38333333,-80.3,5,,,,,,,,0,0
SC,NA,NA-144,SCE,33.38333333,-80.3,1,81,85,2.6,21,24.5,4,43,43,1
ONT,NA,NA-144,SCE,33.38333333,-80.3,1,,,,,,,,0,0
SC,NA,NA-144,SCE,33.38333333,-80.3,2,73,78,13.2,58,49.7,48,1509,1509,1
ONT,NA,NA-144,SCE,33.38333333,-80.3,2,,,,,,,,0,0
ONT,NA,NA-144,SCE,33.38333333,-80.3,3,198,209,4.2,40,33.7,66,1005,1005,1
SC,NA,NA-144,SCE,33.38333333,-80.3,3,78,83,5.3,30,35.2,6,196,196,1
SC,NA,NA-144,SCE,33.38333333,-80.3,4,77,83,7.9,37,43.6,18,496,496,1
ONT,NA,NA-144,SCE,33.38333333,-80.3,4,,,,,,,,0,0
ONT,NA,NA-144,SCE,33.38333333,-80.3,5,196,206,2.9,31,30.2,32,453,453,1
SC,NA,NA-144,SCE,33.38333333,-80.3,5,79,85,5.8,18,25.4,19,400,400,1
SC,NA,NA-145,SCE,33.38333333,-80.3,1,71,74,8.2,50,46.1,69,926,926,1
ONT,NA,NA-145,SCE,33.38333333,-80.3,1,202,214,2.1,16,22.6,17,276,276,1
SC,NA,NA-145,SCE,33.38333333,-80.3,2,73,78,9.6,38,47,35,1036,1036,1
ONT,NA,NA-145,SCE,33.38333333,-80.3,2,198,207,3.7,33,30.3,22,443,443,1
SC,NA,NA-145,SCE,33.38333333,-80.3,3,78,84,10.9,59,35.1,83,2258,2258,1
ONT,NA,NA-145,SCE,33.38333333,-80.3,3,196,207,2.9,33,32.7,64,1027,1027,1
ONT,NA,NA-145,SCE,33.38333333,-80.3,4,,,,,,,,0,0
SC,NA,NA-145,SCE,33.38333333,-80.3,4,74,80,9.3,43,37.1,24,667,667,1
SC,NA,NA-145,SCE,33.38333333,-80.3,5,77,83,7.8,37,38.8,14,536,536,1
ONT,NA,NA-145,SCE,33.38333333,-80.3,5,194,206,3.4,30,29.9,23,483,483,1
ONT,NA,NA-146,SCE,33.38333333,-80.3,1,,,,,,,,0,0
SC,NA,NA-146,SCE,33.38333333,-80.3,1,,,,,,,,0,0
SC,NA,NA-146,SCE,33.38333333,-80.3,2,80,86,6.8,50,35.1,60,1455,1455,1
ONT,NA,NA-146,SCE,33.38333333,-80.3,2,199,207,3.8,39,27.8,11,304,304,1
ONT,NA,NA-146,SCE,33.38333333,-80.3,3,,,,,,,,0,0
SC,NA,NA-146,SCE,33.38333333,-80.3,3,79,85,8.1,46,35.3,15,384,384,1
SC,NA,NA-146,SCE,33.38333333,-80.3,4,86,89,7.5,51,32.9,10,417,417,1
ONT,NA,NA-146,SCE,33.38333333,-80.3,4,196,206,3.1,36,26.5,25,445,445,1
ONT,NA,NA-146,SCE,33.38333333,-80.3,5,198,206,4.3,51,30.7,71,1065,1065,1
SC,NA,NA-146,SCE,33.38333333,-80.3,5,86,88,6.2,41,25.2,9,307,307,1
SC,NA,NA-149,SCE,33.38333333,-80.3,1,73,79,10.1,46,28.8,66,1657,1657,1
ONT,NA,NA-149,SCE,33.38333333,-80.3,1,,,,,,,,0,0
SC,NA,NA-149,SCE,33.38333333,-80.3,2,76,80,7.8,45,43.2,17,624,624,1
ONT,NA,NA-149,SCE,33.38333333,-80.3,2,198,213,2.5,21,28.6,11,265,265,1
ONT,NA,NA-149,SCE,33.38333333,-80.3,3,,,,,,,,0,0
SC,NA,NA-149,SCE,33.38333333,-80.3,3,79,86,4.5,30,27.5,10,175,175,1
ONT,NA,NA-149,SCE,33.38333333,-80.3,4,196,207,2.7,30,27.3,7,161,161,1
SC,NA,NA-149,SCE,33.38333333,-80.3,4,87,92,3.2,17,24.2,5,89,89,1
SC,NA,NA-149,SCE,33.38333333,-80.3,5,,,,,,,,0,0
ONT,NA,NA-149,SCE,33.38333333,-80.3,5,196,206,4.4,31,35.5,38,611,611,1
ONT,NA,NA-15,Rmx,42.10338056,-86.48526944,1,,,,,,,,0,0
SC,NA,NA-15,Rmx,42.10338056,-86.48526944,1,69,73,9.7,73,41.7,111,2632,2632,1
ONT,NA,NA-15,Rmx,42.10338056,-86.48526944,2,200,207,1.8,21,25.2,5,89,89,1
SC,NA,NA-15,Rmx,42.10338056,-86.48526944,2,69,71,6.3,20,46.9,17,411,411,1
ONT,NA,NA-15,Rmx,42.10338056,-86.48526944,3,,,,,,,,0,0
SC,NA,NA-15,Rmx,42.10338056,-86.48526944,3,71,77,9.7,45,51.3,10,556,556,1
ONT,NA,NA-15,Rmx,42.10338056,-86.48526944,4,198,206,2.1,25,22.5,3,56,56,1
SC,NA,NA-15,Rmx,42.10338056,-86.48526944,4,80,85,3.8,15,38.7,12,241,241,1
SC,NA,NA-15,Rmx,42.10338056,-86.48526944,5,81,84,3.4,19,41.1,10,266,266,1
ONT,NA,NA-15,Rmx,42.10338056,-86.48526944,5,196,206,3.2,27,33.4,11,285,285,1
SC,NA,NA-154,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-154,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-154,SCP,33.7,-80.03333333,2,194,206,3.1,35,34.3,33,591,591,1
SC,NA,NA-154,SCP,33.7,-80.03333333,2,78,85,11,61,41.5,101,2999,2999,1
ONT,NA,NA-154,SCP,33.7,-80.03333333,3,196,206,3.7,32,29.9,23,520,520,1
SC,NA,NA-154,SCP,33.7,-80.03333333,3,76,80,4.6,22,32.5,14,201,201,1
ONT,NA,NA-154,SCP,33.7,-80.03333333,4,194,206,2.9,34,23.5,8,156,156,1
SC,NA,NA-154,SCP,33.7,-80.03333333,4,86,89,6.9,34,31.3,14,417,417,1
SC,NA,NA-154,SCP,33.7,-80.03333333,5,80,86,10.7,44,39.1,68,1561,1561,1
ONT,NA,NA-154,SCP,33.7,-80.03333333,5,,,,,,,,0,0
SC,NA,NA-155,SCP,33.7,-80.03333333,1,83,88,5.6,35,35.5,11,423,423,1
ONT,NA,NA-155,SCP,33.7,-80.03333333,1,198,207,2.2,21,22.9,7,80,80,1
SC,NA,NA-155,SCP,33.7,-80.03333333,2,,,,,,,,0,0
ONT,NA,NA-155,SCP,33.7,-80.03333333,2,,,,,,,,0,0
ONT,NA,NA-155,SCP,33.7,-80.03333333,3,,,,,,,,0,0
SC,NA,NA-155,SCP,33.7,-80.03333333,3,79,86,12.5,38,41.4,246,1855,1855,1
ONT,NA,NA-155,SCP,33.7,-80.03333333,4,194,206,3,27,23.6,9,179,179,1
SC,NA,NA-155,SCP,33.7,-80.03333333,4,111,114,2.6,29,0.2,0,,0,1
SC,NA,NA-155,SCP,33.7,-80.03333333,5,84,88,7.2,40,36.3,19,500,500,1
ONT,NA,NA-155,SCP,33.7,-80.03333333,5,,,,,,,,0,0
SC,NA,NA-156,SCP,33.7,-80.03333333,1,80,85,8.3,38,32,28,798,798,1
ONT,NA,NA-156,SCP,33.7,-80.03333333,1,,,,,,,,0,0
SC,NA,NA-156,SCP,33.7,-80.03333333,2,,,,,,,,0,0
ONT,NA,NA-156,SCP,33.7,-80.03333333,2,,,,,,,,0,0
SC,NA,NA-156,SCP,33.7,-80.03333333,3,85,88,6.6,41,28.7,14,372,372,1
ONT,NA,NA-156,SCP,33.7,-80.03333333,3,199,207,2.7,22,20.8,7,172,172,1
SC,NA,NA-156,SCP,33.7,-80.03333333,4,85,89,5.9,36,31.2,10,296,296,1
ONT,NA,NA-156,SCP,33.7,-80.03333333,4,200,208,3.1,36,23.7,9,232,232,1
SC,NA,NA-156,SCP,33.7,-80.03333333,5,91,92,4.2,27,25.7,3,130,130,1
ONT,NA,NA-156,SCP,33.7,-80.03333333,5,,,,,,,,0,0
SC,NA,NA-159,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-159,SCP,33.7,-80.03333333,1,,,,,,,,0,0
SC,NA,NA-159,SCP,33.7,-80.03333333,2,79,82,8.9,,37.1,13,526,526,1
ONT,NA,NA-159,SCP,33.7,-80.03333333,2,,,,,,,,0,0
SC,NA,NA-159,SCP,33.7,-80.03333333,3,81,87,7.7,38,32.7,11,323,323,1
ONT,NA,NA-159,SCP,33.7,-80.03333333,3,,,,,,,,0,0
SC,NA,NA-159,SCP,33.7,-80.03333333,4,88,93,5.2,26,34.4,7,269,269,1
ONT,NA,NA-159,SCP,33.7,-80.03333333,4,196,206,1.6,20,20.1,7,70,70,1
SC,NA,NA-159,SCP,33.7,-80.03333333,5,,,,,,,,0,0
ONT,NA,NA-159,SCP,33.7,-80.03333333,5,,,,,,,,0,0
ONT,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,1,196,206,2.6,24,32.6,35,632,632,1
SC,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,1,,,,,,,,0,0
SC,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,2,77,82,6.2,34,37,20,476,476,1
ONT,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,2,,,,,,,,0,0
ONT,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,3,200,213,4,27,26.9,34,557,557,1
SC,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,3,77,82,7,36,37.8,12,277,277,1
ONT,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,4,,,,,,,,0,0
SC,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,4,82,87,6.9,36,39.6,13,335,335,1
SC,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,5,81,87,6.4,30,34.7,45,1040,1040,1
ONT,NA,NA-16,ColdSpringHarborLab,40.87063056,-73.4583,5,,,,,,,,0,0
SC,NA,NA-160,SCP,33.7,-80.03333333,1,79,84,8.3,34,40.7,73,1565,1565,1
ONT,NA,NA-160,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-160,SCP,33.7,-80.03333333,2,196,206,3.5,34,25.8,12,301,301,1
SC,NA,NA-160,SCP,33.7,-80.03333333,2,,,,,,,,0,0
SC,NA,NA-160,SCP,33.7,-80.03333333,3,82,87,6.4,44,35.1,11,597,597,1
ONT,NA,NA-160,SCP,33.7,-80.03333333,3,196,207,2.3,22,25,20,383,383,1
ONT,NA,NA-160,SCP,33.7,-80.03333333,4,196,206,3.1,30,26.7,13,246,246,1
SC,NA,NA-160,SCP,33.7,-80.03333333,4,88,94,6.8,20,37.6,23,453,453,1
ONT,NA,NA-160,SCP,33.7,-80.03333333,5,198,207,4,38,27.4,12,262,262,1
SC,NA,NA-160,SCP,33.7,-80.03333333,5,90,93,3.3,25,25.6,3,70,70,1
SC,NA,NA-161,SCP,33.7,-80.03333333,1,76,82,9.7,75,40.1,40,1415,1415,1
ONT,NA,NA-161,SCP,33.7,-80.03333333,1,198,207,2.8,22,28.3,26,508,508,1
SC,NA,NA-161,SCP,33.7,-80.03333333,2,77,82,6.8,44,36.7,21,434,434,1
ONT,NA,NA-161,SCP,33.7,-80.03333333,2,199,208,3,29,27.1,6,207,207,1
SC,NA,NA-161,SCP,33.7,-80.03333333,3,78,81,7.7,49,37.2,12,430,430,1
ONT,NA,NA-161,SCP,33.7,-80.03333333,3,,,,,,,,0,0
SC,NA,NA-161,SCP,33.7,-80.03333333,4,79,85,9,20,41.9,10,454,454,1
ONT,NA,NA-161,SCP,33.7,-80.03333333,4,195,206,2.6,30,22.7,6,150,150,1
SC,NA,NA-161,SCP,33.7,-80.03333333,5,79,84,7.8,43,31.4,24,630,630,1
ONT,NA,NA-161,SCP,33.7,-80.03333333,5,,,,,,,,0,0
SC,NA,NA-163,SCP,33.7,-80.03333333,1,73,78,11.1,70,46,42,1376,1376,1
ONT,NA,NA-163,SCP,33.7,-80.03333333,1,198,207,3.7,38,30.7,32,576,576,1
ONT,NA,NA-163,SCP,33.7,-80.03333333,2,,,,,,,,0,0
SC,NA,NA-163,SCP,33.7,-80.03333333,2,81,86,7.6,31,40.5,32,1006,1006,1
SC,NA,NA-163,SCP,33.7,-80.03333333,3,81,87,9.4,47,38.6,13,446,446,1
ONT,NA,NA-163,SCP,33.7,-80.03333333,3,,,,,,,,0,0
ONT,NA,NA-163,SCP,33.7,-80.03333333,4,196,206,3,33,26.1,9,183,183,1
SC,NA,NA-163,SCP,33.7,-80.03333333,4,85,88,12.4,49,35.7,90,2037,2037,1
SC,NA,NA-163,SCP,33.7,-80.03333333,5,86,88,6.4,48,31.9,5,389,389,1
ONT,NA,NA-163,SCP,33.7,-80.03333333,5,196,207,3.4,35,28.5,70,983,983,1
SC,NA,NA-164,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-164,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-164,SCP,33.7,-80.03333333,2,,,,,,,,0,0
SC,NA,NA-164,SCP,33.7,-80.03333333,2,79,86,7.4,37,33.5,27,918,918,1
ONT,NA,NA-164,SCP,33.7,-80.03333333,3,200,209,2.6,26,25.7,9,203,203,1
SC,NA,NA-164,SCP,33.7,-80.03333333,3,82,87,9,49,35,10,412,412,1
SC,NA,NA-164,SCP,33.7,-80.03333333,4,86,89,7.4,42,43.1,15,512,512,1
ONT,NA,NA-164,SCP,33.7,-80.03333333,4,198,207,3,34,25,24,299,299,1
ONT,NA,NA-164,SCP,33.7,-80.03333333,5,,,,,,,,0,0
SC,NA,NA-164,SCP,33.7,-80.03333333,5,85,91,6.6,41,32.7,25,442,442,1
SC,NA,NA-165,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-165,SCP,33.7,-80.03333333,1,,,,,,,,0,0
ONT,NA,NA-165,SCP,33.7,-80.03333333,2,198,208,2,24,22.8,9,145,145,1
SC,NA,NA-165,SCP,33.7,-80.03333333,2,86,92,4.9,36,27.9,10,185,185,1
ONT,NA,NA-165,SCP,33.7,-80.03333333,3,,,,,,,,0,0
SC,NA,NA-165,SCP,33.7,-80.03333333,3,80,86,6.5,44,34.8,13,281,281,1
SC,NA,NA-165,SCP,33.7,-80.03333333,4,82,90,12.5,41,40.7,105,1861,1861,1
ONT,NA,NA-165,SCP,33.7,-80.03333333,4,201,208,2,17,20.2,4,48,48,1
ONT,NA,NA-165,SCP,33.7,-80.03333333,5,196,208,2.5,36,27.3,10,198,198,1
SC,NA,NA-165,SCP,33.7,-80.03333333,5,84,90,5.8,39,41.2,5,220,220,1
ONT,NA,NA-167,NC1,36.01510833,-78.68945,1,203,213,3.8,27,25.6,22,274,274,1
SC,NA,NA-167,NC1,36.01510833,-78.68945,1,,,,,,,,0,0
SC,NA,NA-167,NC1,36.01510833,-78.68945,2,,,,,,,,0,0
ONT,NA,NA-167,NC1,36.01510833,-78.68945,2,198,208,3.8,39,25.3,15,368,368,1
SC,NA,NA-167,NC1,36.01510833,-78.68945,3,82,88,6.5,42,32.6,22,383,383,1
ONT,NA,NA-167,NC1,36.01510833,-78.68945,3,,,,,,,,0,0
SC,NA,NA-167,NC1,36.01510833,-78.68945,4,85,89,7.8,41,39.6,36,398,398,1
ONT,NA,NA-167,NC1,36.01510833,-78.68945,4,198,214,1.8,22,17.8,7,102,102,1
ONT,NA,NA-167,NC1,36.01510833,-78.68945,5,,,,,,,,0,0
SC,NA,NA-167,NC1,36.01510833,-78.68945,5,94,98,4.1,26,28,4,61,61,1
SC,NA,NA-168,NC1,36.01510833,-78.68945,1,85,89,2.4,35,15.2,6,53,53,1
ONT,NA,NA-168,NC1,36.01510833,-78.68945,1,198,207,2,21,22.4,9,163,163,1
SC,NA,NA-168,NC1,36.01510833,-78.68945,2,,,,,,,,0,0
ONT,NA,NA-168,NC1,36.01510833,-78.68945,2,196,207,3,33,28.7,35,606,606,1
SC,NA,NA-168,NC1,36.01510833,-78.68945,3,75,80,7.3,38,34.5,17,573,573,1
ONT,NA,NA-168,NC1,36.01510833,-78.68945,3,196,206,3.2,34,28.2,29,638,638,1
ONT,NA,NA-168,NC1,36.01510833,-78.68945,4,,,,,,,,0,0
SC,NA,NA-168,NC1,36.01510833,-78.68945,4,86,89,4.8,36,30.2,8,218,218,1
SC,NA,NA-168,NC1,36.01510833,-78.68945,5,86,95,4.6,26,33.6,13,253,253,1
ONT,NA,NA-168,NC1,36.01510833,-78.68945,5,194,206,2.4,36,26.4,15,324,324,1
ONT,NA,NA-169,NC1,36.01510833,-78.68945,1,200,207,1.4,17,22.8,21,263,263,1
SC,NA,NA-169,NC1,36.01510833,-78.68945,1,,,,,,,,0,0
ONT,NA,NA-169,NC1,36.01510833,-78.68945,2,194,206,2.9,44,26.5,15,279,279,1
SC,NA,NA-169,NC1,36.01510833,-78.68945,2,76,82,10.7,82,43.4,42,767,767,1
ONT,NA,NA-169,NC1,36.01510833,-78.68945,3,195,206,2.3,33,25.4,13,303,303,1
SC,NA,NA-169,NC1,36.01510833,-78.68945,3,80,84,5.4,,29.6,7,192,192,1
SC,NA,NA-169,NC1,36.01510833,-78.68945,4,80,87,8,25,36.8,43,1059,1059,1
ONT,NA,NA-169,NC1,36.01510833,-78.68945,4,193,206,2.3,32,23.6,42,807,807,1
ONT,NA,NA-169,NC1,36.01510833,-78.68945,5,194,206,4,39,30.1,43,932,932,1
SC,NA,NA-169,NC1,36.01510833,-78.68945,5,81,85,6.2,39,34.5,9,355,355,1
SC,NA,NA-17,RP,42.44048889,-76.49535833,1,83,88,6.9,45,21.7,32,233,233,1
ONT,NA,NA-17,RP,42.44048889,-76.49535833,1,198,216,1.7,20,15.4,8,60,60,1
ONT,NA,NA-17,RP,42.44048889,-76.49535833,2,200,207,3.9,26,27,31,578,578,1
SC,NA,NA-17,RP,42.44048889,-76.49535833,2,86,92,10.5,67,35.9,186,1321,1321,1
ONT,NA,NA-17,RP,42.44048889,-76.49535833,3,,,,,,,,0,0
SC,NA,NA-17,RP,42.44048889,-76.49535833,3,87,90,6.5,52,26.7,41,215,215,1
ONT,NA,NA-17,RP,42.44048889,-76.49535833,4,196,206,2.7,31,27.5,15,331,331,1
SC,NA,NA-17,RP,42.44048889,-76.49535833,4,90,93,7,40,29.5,17,272,272,1
SC,NA,NA-17,RP,42.44048889,-76.49535833,5,88,91,8,50,31.9,27,535,535,1
ONT,NA,NA-17,RP,42.44048889,-76.49535833,5,,,,,,,,0,0
ONT,NA,NA-175,NC1,36.01510833,-78.68945,1,,,,,,,,0,0
SC,NA,NA-175,NC1,36.01510833,-78.68945,1,77,83,8.6,64,29.2,108,1269,1269,1
SC,NA,NA-175,NC1,36.01510833,-78.68945,2,91,96,3.8,28,31.3,9,89,89,1
ONT,NA,NA-175,NC1,36.01510833,-78.68945,2,,,,,,,,0,0
SC,NA,NA-175,NC1,36.01510833,-78.68945,3,86,90,8.1,42,30,24,900,900,1
ONT,NA,NA-175,NC1,36.01510833,-78.68945,3,202,213,3.1,29,22.7,22,389,389,1
ONT,NA,NA-175,NC1,36.01510833,-78.68945,4,196,207,3.4,35,21.8,10,184,184,1
SC,NA,NA-175,NC1,36.01510833,-78.68945,4,86,91,7.1,45,32.9,12,414,414,1
SC,NA,NA-175,NC1,36.01510833,-78.68945,5,85,89,7.5,46,29,19,388,388,1
ONT,NA,NA-175,NC1,36.01510833,-78.68945,5,,,,,,,,0,0
SC,NA,NA-176,NC1,36.01510833,-78.68945,1,,,,,,,,0,0
ONT,NA,NA-176,NC1,36.01510833,-78.68945,1,,,,,,,,0,0
ONT,NA,NA-176,NC1,36.01510833,-78.68945,2,,,,,,,,0,0
SC,NA,NA-176,NC1,36.01510833,-78.68945,2,71,73,5.7,17,34.5,16,401,401,1
ONT,NA,NA-176,NC1,36.01510833,-78.68945,3,,,,,,,,0,0
SC,NA,NA-176,NC1,36.01510833,-78.68945,3,,,,,,,,0,0
SC,NA,NA-176,NC1,36.01510833,-78.68945,4,76,80,6.5,18,38.1,12,377,377,1
ONT,NA,NA-176,NC1,36.01510833,-78.68945,4,196,213,1.6,17,12.9,3,37,37,1
ONT,NA,NA-176,NC1,36.01510833,-78.68945,5,206,215,1.8,21,16.6,3,57,57,1
